DateTime,,,,,Ident,Secs,TX,RX
20180424184528,,,,,4,19.0-20.0,393216,3145728
20180424184528,,,,,6,19.0-20.0,393216,3145728
20180424184528,,,,,7,19.0-20.0,393216,3145728
20180424184528,,,,,-1,19.0-20.0,2228224,17825792
20180424184529,,,,,4,20.0-21.0,524288,4194304
20180424184529,,,,,5,20.0-21.0,786432,6291456
20180424184529,,,,,3,20.0-21.0,524288,4194304
20180424184529,,,,,7,20.0-21.0,393216,3145728
20180424184529,,,,,6,20.0-21.0,524288,4194304
20180424184529,,,,,-1,20.0-21.0,2752512,22020096
20180424184530,,,,,4,21.0-22.0,786432,6291456
20180424184530,,,,,5,21.0-22.0,786432,6291456
20180424184530,,,,,6,21.0-22.0,393216,3145728
20180424184530,,,,,3,21.0-22.0,655360,5242880
20180424184530,,,,,7,21.0-22.0,655360,5242880
20180424184530,,,,,-1,21.0-22.0,3276800,26214400
20180424184531,,,,,4,22.0-23.0,655360,5242880
20180424184531,,,,,5,22.0-23.0,393216,3145728
20180424184531,,,,,3,22.0-23.0,393216,3145728
20180424184531,,,,,6,22.0-23.0,393216,3145728
20180424184531,,,,,7,22.0-23.0,393216,3145728
20180424184531,,,,,-1,22.0-23.0,2228224,17825792
20180424184532,,,,,4,23.0-24.0,917504,7340032
20180424184532,,,,,3,23.0-24.0,524288,4194304
20180424184532,,,,,7,23.0-24.0,524288,4194304
20180424184532,,,,,5,23.0-24.0,655360,5242880
20180424184532,,,,,6,23.0-24.0,524288,4194304
20180424184532,,,,,-1,23.0-24.0,3145728,25165824
20180424184533,,,,,4,24.0-25.0,655360,5242880
20180424184533,,,,,7,24.0-25.0,393216,3145728
20180424184533,,,,,5,24.0-25.0,393216,3145728
20180424184533,,,,,6,24.0-25.0,393216,3145728
20180424184533,,,,,3,24.0-25.0,524288,4194304
20180424184533,,,,,-1,24.0-25.0,2359296,18874368
20180424184534,,,,,4,25.0-26.0,655360,5242880
20180424184534,,,,,7,25.0-26.0,524288,4194304
20180424184534,,,,,5,25.0-26.0,524288,4194304
20180424184534,,,,,3,25.0-26.0,393216,3145728
20180424184534,,,,,6,25.0-26.0,393216,3145728
20180424184534,,,,,-1,25.0-26.0,2490368,19922944
20180424184535,,,,,4,26.0-27.0,655360,5242880
20180424184535,,,,,7,26.0-27.0,786432,6291456
20180424184535,,,,,6,26.0-27.0,524288,4194304
20180424184535,,,,,5,26.0-27.0,655360,5242880
20180424184535,,,,,3,26.0-27.0,655360,5242880
20180424184535,,,,,-1,26.0-27.0,3276800,26214400
20180424184536,,,,,4,27.0-28.0,524288,4194304
20180424184536,,,,,7,27.0-28.0,524288,4194304
20180424184536,,,,,3,27.0-28.0,393216,3145728
20180424184536,,,,,6,27.0-28.0,393216,3145728
20180424184536,,,,,5,27.0-28.0,524288,4194304
20180424184536,,,,,-1,27.0-28.0,2359296,18874368
20180424184537,,,,,7,28.0-29.0,524288,4194304
20180424184537,,,,,6,28.0-29.0,393216,3145728
20180424184537,,,,,4,28.0-29.0,655360,5242880
20180424184537,,,,,3,28.0-29.0,524288,4194304
20180424184537,,,,,5,28.0-29.0,524288,4194304
20180424184537,,,,,-1,28.0-29.0,2621440,20971520
20180424184538,,,,,4,29.0-30.0,655360,5242880
20180424184538,,,,,6,29.0-30.0,524288,4194304
20180424184538,,,,,3,29.0-30.0,524288,4194304
