DateTime,,,,,Ident,Secs,TX,RX
20180424151546,,,,,7,0.0-1.0,130829,1046632
20180424151546,,,,,3,0.0-1.0,129358,1034864
20180424151546,,,,,4,0.0-1.0,130829,1046632
20180424151546,,,,,5,0.0-1.0,130829,1046632
20180424151546,,,,,6,0.0-1.0,130829,1046632
20180424151546,,,,,-1,0.0-1.0,652674,5221392
20180424151547,,,,,7,1.0-2.0,129359,1034872
20180424151547,,,,,3,1.0-2.0,130830,1046640
20180424151547,,,,,4,1.0-2.0,130830,1046640
20180424151547,,,,,5,1.0-2.0,130830,1046640
20180424151547,,,,,6,1.0-2.0,130830,1046640
20180424151547,,,,,-1,1.0-2.0,652679,5221432
20180424151548,,,,,7,2.0-3.0,130830,1046640
20180424151548,,,,,3,2.0-3.0,130830,1046640
20180424151548,,,,,4,2.0-3.0,130830,1046640
20180424151548,,,,,5,2.0-3.0,129359,1034872
20180424151548,,,,,6,2.0-3.0,130830,1046640
20180424151548,,,,,-1,2.0-3.0,652679,5221432
20180424151549,,,,,7,3.0-4.0,130830,1046640
20180424151549,,,,,3,3.0-4.0,130830,1046640
20180424151549,,,,,4,3.0-4.0,130830,1046640
20180424151549,,,,,5,3.0-4.0,130830,1046640
20180424151549,,,,,6,3.0-4.0,129359,1034872
20180424151549,,,,,-1,3.0-4.0,652679,5221432
20180424151550,,,,,7,4.0-5.0,130830,1046640
20180424151550,,,,,3,4.0-5.0,129359,1034872
20180424151550,,,,,4,4.0-5.0,130830,1046640
20180424151550,,,,,5,4.0-5.0,130830,1046640
20180424151550,,,,,6,4.0-5.0,130830,1046640
20180424151550,,,,,-1,4.0-5.0,652679,5221432
20180424151551,,,,,7,5.0-6.0,129359,1034872
20180424151551,,,,,3,5.0-6.0,130830,1046640
20180424151551,,,,,4,5.0-6.0,130830,1046640
20180424151551,,,,,5,5.0-6.0,130830,1046640
20180424151551,,,,,6,5.0-6.0,130830,1046640
20180424151551,,,,,-1,5.0-6.0,652679,5221432
20180424151552,,,,,7,6.0-7.0,132300,1058400
20180424151552,,,,,3,6.0-7.0,132300,1058400
20180424151552,,,,,4,6.0-7.0,132300,1058400
20180424151552,,,,,5,6.0-7.0,132300,1058400
20180424151552,,,,,6,6.0-7.0,130829,1046632
20180424151552,,,,,-1,6.0-7.0,660029,5280232
20180424151553,,,,,7,7.0-8.0,130830,1046640
20180424151553,,,,,3,7.0-8.0,130830,1046640
20180424151553,,,,,4,7.0-8.0,129359,1034872
20180424151553,,,,,5,7.0-8.0,130830,1046640
20180424151553,,,,,6,7.0-8.0,130830,1046640
20180424151553,,,,,-1,7.0-8.0,652679,5221432
20180424151554,,,,,7,8.0-9.0,129359,1034872
20180424151554,,,,,3,8.0-9.0,130830,1046640
20180424151554,,,,,4,8.0-9.0,130830,1046640
20180424151554,,,,,5,8.0-9.0,130830,1046640
20180424151554,,,,,6,8.0-9.0,130830,1046640
