DateTime,,,,,Ident,Secs,TX,RX
20180424165727,,,,,7,0.0-1.0,262144,2097152
20180424165727,,,,,6,0.0-1.0,393216,3145728
20180424165728,,,,,4,0.0-1.0,393216,3145728
20180424165728,,,,,3,0.0-1.0,393216,3145728
20180424165728,,,,,5,0.0-1.0,393216,3145728
20180424165728,,,,,-1,0.0-1.0,1835008,14680064
20180424165728,,,,,6,1.0-2.0,262144,2097152
20180424165728,,,,,7,1.0-2.0,262144,2097152
20180424165728,,,,,3,1.0-2.0,131072,1048576
20180424165728,,,,,4,1.0-2.0,131072,1048576
20180424165728,,,,,5,1.0-2.0,131072,1048576
20180424165728,,,,,-1,1.0-2.0,917504,7340032
20180424165729,,,,,6,2.0-3.0,524288,4194304
20180424165729,,,,,7,2.0-3.0,262144,2097152
20180424165729,,,,,3,2.0-3.0,262144,2097152
20180424165730,,,,,5,2.0-3.0,262144,2097152
20180424165730,,,,,4,2.0-3.0,262144,2097152
20180424165730,,,,,-1,2.0-3.0,1572864,12582912
20180424165730,,,,,7,3.0-4.0,262144,2097152
20180424165730,,,,,6,3.0-4.0,524288,4194304
20180424165730,,,,,5,3.0-4.0,131072,1048576
20180424165730,,,,,4,3.0-4.0,131072,1048576
20180424165730,,,,,3,3.0-4.0,262144,2097152
20180424165730,,,,,-1,3.0-4.0,1310720,10485760
20180424165731,,,,,6,4.0-5.0,262144,2097152
20180424165731,,,,,7,4.0-5.0,262144,2097152
20180424165731,,,,,3,4.0-5.0,262144,2097152
20180424165731,,,,,5,4.0-5.0,262144,2097152
20180424165731,,,,,4,4.0-5.0,262144,2097152
20180424165731,,,,,-1,4.0-5.0,1310720,10485760
20180424165737,,,,,5,5.0-6.0,262144,2097152
20180424165737,,,,,4,5.0-6.0,262144,2097152
20180424165737,,,,,4,6.0-7.0,0,0
20180424165737,,,,,4,7.0-8.0,0,0
20180424165737,,,,,4,8.0-9.0,0,0
20180424165737,,,,,4,9.0-10.0,0,0
20180424165737,,,,,4,10.0-11.0,0,0
20180424165737,,,,,7,5.0-6.0,262144,2097152
20180424165737,,,,,3,5.0-6.0,262144,2097152
20180424165737,,,,,5,6.0-7.0,131072,1048576
20180424165737,,,,,5,7.0-8.0,0,0
20180424165737,,,,,5,8.0-9.0,0,0
20180424165737,,,,,5,9.0-10.0,0,0
20180424165737,,,,,5,10.0-11.0,0,0
20180424165737,,,,,6,5.0-6.0,524288,4194304
20180424165737,,,,,-1,5.0-6.0,1572864,12582912
20180424165737,,,,,6,6.0-7.0,0,0
20180424165737,,,,,6,7.0-8.0,0,0
20180424165737,,,,,6,8.0-9.0,0,0
20180424165737,,,,,6,9.0-10.0,0,0
20180424165737,,,,,6,10.0-11.0,0,0
20180424165737,,,,,7,6.0-7.0,131072,1048576
20180424165737,,,,,7,7.0-8.0,0,0
20180424165737,,,,,7,8.0-9.0,0,0
20180424165737,,,,,7,9.0-10.0,0,0
20180424165737,,,,,7,10.0-11.0,0,0
20180424165738,,,,,3,6.0-7.0,131072,1048576
20180424165738,,,,,-1,6.0-7.0,393216,3145728
20180424165738,,,,,3,7.0-8.0,0,0
20180424165738,,,,,-1,7.0-8.0,0,0
20180424165738,,,,,3,8.0-9.0,0,0
20180424165738,,,,,-1,8.0-9.0,0,0
20180424165738,,,,,3,9.0-10.0,0,0
20180424165738,,,,,3,10.0-11.0,0,0
20180424165738,,,,,4,11.0-12.0,524288,4194304
20180424165738,,,,,3,11.0-12.0,131072,1048576
20180424165738,,,,,6,11.0-12.0,262144,2097152
20180424165738,,,,,5,11.0-12.0,262144,2097152
20180424165738,,,,,7,11.0-12.0,262144,2097152
20180424165738,,,,,-1,11.0-12.0,1441792,11534336
20180424165739,,,,,4,12.0-13.0,393216,3145728
20180424165739,,,,,6,12.0-13.0,262144,2097152
20180424165739,,,,,7,12.0-13.0,262144,2097152
