DateTime,Ident,Secs,Secs2,TX,RX
20180424111320,4,24,25,130829,1046632
20180424111320,5,24,25,132300,1058400
20180424111320,6,24,25,132300,1058400
20180424111320,0,24,25,660029,5280232
20180424111321,7,25,26,130830,1046640
20180424111321,3,25,26,130830,1046640
20180424111321,4,25,26,130830,1046640
20180424111321,5,25,26,129359,1034872
20180424111321,6,25,26,130830,1046640
20180424111321,0,25,26,652679,5221432
20180424111322,7,26,27,130830,1046640
20180424111322,3,26,27,130830,1046640
20180424111322,4,26,27,129359,1034872
20180424111322,5,26,27,130830,1046640
20180424111322,6,26,27,130830,1046640
20180424111322,0,26,27,652679,5221432
20180424111323,7,27,28,130830,1046640
20180424111323,3,27,28,129359,1034872
20180424111323,4,27,28,130830,1046640
20180424111323,5,27,28,130830,1046640
20180424111323,6,27,28,130830,1046640
20180424111323,0,27,28,652679,5221432
20180424111324,7,28,29,129359,1034872
20180424111324,3,28,29,130830,1046640
20180424111324,4,28,29,130830,1046640
20180424111324,5,28,29,130830,1046640
20180424111324,6,28,29,130830,1046640
20180424111324,0,28,29,652679,5221432
20180424111325,7,29,30,130830,1046640
20180424111325,3,29,30,129359,1034872
20180424111325,4,29,30,130830,1046640
20180424111325,5,29,30,130830,1046640
20180424111325,6,29,30,130830,1046640
20180424111325,0,29,30,652679,5221432
20180424111326,7,30,31,132300,1058400
20180424111326,3,30,31,130829,1046632
20180424111326,4,30,31,132300,1058400
20180424111326,5,30,31,132300,1058400
20180424111326,6,30,31,132300,1058400
20180424111326,0,30,31,660029,5280232
20180424111327,7,31,32,130830,1046640
20180424111327,3,31,32,129359,1034872
20180424111327,4,31,32,130830,1046640
20180424111327,5,31,32,130830,1046640
20180424111327,6,31,32,130830,1046640
20180424111327,0,31,32,652679,5221432
20180424111328,7,32,33,130830,1046640
20180424111328,3,32,33,130830,1046640
20180424111328,4,32,33,129359,1034872
20180424111328,5,32,33,130830,1046640
20180424111328,6,32,33,130830,1046640
20180424111328,0,32,33,652679,5221432
20180424111329,7,33,34,129359,1034872
20180424111329,3,33,34,130830,1046640
20180424111329,4,33,34,130830,1046640
20180424111329,5,33,34,130830,1046640
20180424111329,6,33,34,130830,1046640
20180424111329,0,33,34,652679,5221432
20180424111330,7,34,35,129359,1034872
20180424111330,3,34,35,130830,1046640
20180424111330,4,34,35,130830,1046640
20180424111330,5,34,35,130830,1046640
20180424111330,6,34,35,130830,1046640
20180424111330,0,34,35,652679,5221432
20180424111331,7,35,36,130830,1046640
20180424111331,3,35,36,130830,1046640
20180424111331,4,35,36,129359,1034872
20180424111331,5,35,36,130830,1046640
20180424111331,6,35,36,130830,1046640
20180424111331,0,35,36,652679,5221432
20180424111332,7,36,37,132300,1058400
20180424111332,3,36,37,130829,1046632
20180424111332,4,36,37,132300,1058400
20180424111332,5,36,37,132300,1058400
20180424111332,6,36,37,132300,1058400
20180424111332,0,36,37,660029,5280232
20180424111333,7,37,38,129359,1034872
20180424111333,3,37,38,130830,1046640
20180424111333,4,37,38,130830,1046640
20180424111333,5,37,38,130830,1046640
20180424111333,6,37,38,130830,1046640
20180424111333,0,37,38,652679,5221432
20180424111334,7,38,39,130830,1046640
20180424111334,3,38,39,129359,1034872
20180424111334,4,38,39,130830,1046640
20180424111334,5,38,39,130830,1046640
20180424111334,6,38,39,130830,1046640
20180424111334,0,38,39,652679,5221432
20180424111335,7,39,40,130830,1046640
20180424111335,3,39,40,129359,1034872
20180424111335,4,39,40,130830,1046640
20180424111335,5,39,40,130830,1046640
20180424111335,6,39,40,130830,1046640
20180424111335,0,39,40,652679,5221432
20180424111336,7,40,41,129359,1034872
20180424111336,3,40,41,130830,1046640
20180424111336,4,40,41,130830,1046640
20180424111336,5,40,41,130830,1046640
20180424111336,6,40,41,130830,1046640
20180424111336,0,40,41,652679,5221432
20180424111337,7,41,42,130830,1046640
20180424111337,3,41,42,129359,1034872
20180424111337,4,41,42,130830,1046640
20180424111337,5,41,42,130830,1046640
20180424111337,6,41,42,130830,1046640
20180424111337,0,41,42,652679,5221432
20180424111338,7,42,43,130829,1046632
20180424111338,3,42,43,132300,1058400
20180424111338,4,42,43,132300,1058400
20180424111338,5,42,43,132300,1058400
20180424111338,6,42,43,132300,1058400
20180424111338,0,42,43,660029,5280232
20180424111339,7,43,44,129359,1034872
20180424111339,3,43,44,130830,1046640
20180424111339,4,43,44,130830,1046640
20180424111339,5,43,44,130830,1046640
20180424111339,6,43,44,130830,1046640
20180424111339,0,43,44,652679,5221432
20180424111340,7,44,45,130830,1046640
20180424111340,3,44,45,129359,1034872
20180424111340,4,44,45,130830,1046640
20180424111340,5,44,45,130830,1046640
20180424111340,6,44,45,130830,1046640
20180424111340,0,44,45,652679,5221432
20180424111341,7,45,46,129359,1034872
20180424111341,3,45,46,130830,1046640
20180424111341,4,45,46,130830,1046640
20180424111341,5,45,46,130830,1046640
20180424111341,6,45,46,130830,1046640
20180424111341,0,45,46,652679,5221432
20180424111342,7,46,47,130830,1046640
20180424111342,3,46,47,130830,1046640
20180424111342,4,46,47,130830,1046640
20180424111342,5,46,47,130830,1046640
20180424111342,6,46,47,129359,1034872
20180424111342,0,46,47,652679,5221432
20180424111343,7,47,48,130830,1046640
20180424111343,3,47,48,130830,1046640
20180424111343,4,47,48,130830,1046640
20180424111343,5,47,48,129359,1034872
20180424111343,6,47,48,130830,1046640
20180424111343,0,47,48,652679,5221432
20180424111344,7,48,49,132300,1058400
20180424111344,3,48,49,130829,1046632
20180424111344,4,48,49,132300,1058400
20180424111344,5,48,49,132300,1058400
20180424111344,6,48,49,132300,1058400
20180424111344,0,48,49,660029,5280232
20180424111345,7,49,50,130830,1046640
20180424111345,3,49,50,130830,1046640
20180424111345,4,49,50,129359,1034872
20180424111345,5,49,50,130830,1046640
20180424111345,6,49,50,130830,1046640
20180424111345,0,49,50,652679,5221432
20180424111346,7,50,51,130830,1046640
20180424111346,3,50,51,130830,1046640
20180424111346,4,50,51,129359,1034872
20180424111346,5,50,51,130830,1046640
20180424111346,6,50,51,130830,1046640
20180424111346,0,50,51,652679,5221432
20180424111347,7,51,52,130830,1046640
20180424111347,3,51,52,130830,1046640
20180424111347,4,51,52,130830,1046640
20180424111347,5,51,52,130830,1046640
20180424111347,6,51,52,129359,1034872
20180424111347,0,51,52,652679,5221432
20180424111348,7,52,53,130830,1046640
20180424111348,3,52,53,130830,1046640
20180424111348,4,52,53,129359,1034872
20180424111348,5,52,53,130830,1046640
20180424111348,6,52,53,130830,1046640
20180424111348,0,52,53,652679,5221432
20180424111349,7,53,54,130830,1046640
20180424111349,3,53,54,130830,1046640
20180424111349,4,53,54,129359,1034872
20180424111349,5,53,54,130830,1046640
20180424111349,6,53,54,130830,1046640
20180424111349,0,53,54,652679,5221432
20180424111350,7,54,55,130829,1046632
20180424111350,3,54,55,132300,1058400
20180424111350,4,54,55,132300,1058400
20180424111350,5,54,55,132300,1058400
20180424111350,6,54,55,132300,1058400
20180424111350,0,54,55,660029,5280232
20180424111351,7,55,56,130830,1046640
20180424111351,3,55,56,130830,1046640
20180424111351,4,55,56,130830,1046640
20180424111351,5,55,56,130830,1046640
20180424111351,6,55,56,129359,1034872
20180424111351,0,55,56,652679,5221432
20180424111352,7,56,57,129359,1034872
20180424111352,3,56,57,130830,1046640
20180424111352,4,56,57,130830,1046640
20180424111352,5,56,57,130830,1046640
20180424111352,6,56,57,130830,1046640
20180424111352,0,56,57,652679,5221432
20180424111353,7,57,58,129359,1034872
20180424111353,3,57,58,130830,1046640
20180424111353,4,57,58,130830,1046640
20180424111353,5,57,58,130830,1046640
20180424111353,6,57,58,130830,1046640
20180424111353,0,57,58,652679,5221432
20180424111354,7,58,59,130830,1046640
20180424111354,3,58,59,130830,1046640
20180424111354,4,58,59,130830,1046640
20180424111354,5,58,59,129359,1034872
20180424111354,6,58,59,130830,1046640
20180424111354,0,58,59,652679,5221432
20180424111355,7,59,60,130830,1046640
20180424111355,3,59,60,129359,1034872
20180424111355,4,59,60,130830,1046640
20180424111355,5,59,60,130830,1046640
20180424111355,6,59,60,130830,1046640
20180424111355,0,59,60,652679,5221432
20180424111356,7,60,61,132300,1058400
20180424111356,3,60,61,132300,1058400
20180424111356,4,60,61,132300,1058400
20180424111356,5,60,61,130829,1046632
20180424111356,6,60,61,132300,1058400
20180424111356,0,60,61,660029,5280232
20180424111357,7,61,62,129359,1034872
20180424111357,3,61,62,130830,1046640
20180424111357,4,61,62,130830,1046640
20180424111357,5,61,62,130830,1046640
20180424111357,6,61,62,130830,1046640
20180424111357,0,61,62,652679,5221432
20180424111358,7,62,63,130830,1046640
20180424111358,3,62,63,129359,1034872
20180424111358,4,62,63,130830,1046640
20180424111358,5,62,63,130830,1046640
20180424111358,6,62,63,130830,1046640
20180424111358,0,62,63,652679,5221432
20180424111359,7,63,64,129359,1034872
20180424111359,3,63,64,130830,1046640
20180424111359,4,63,64,130830,1046640
20180424111359,5,63,64,130830,1046640
20180424111359,6,63,64,130830,1046640
20180424111359,0,63,64,652679,5221432
20180424111400,7,64,65,130830,1046640
20180424111400,3,64,65,130830,1046640
20180424111400,4,64,65,129359,1034872
20180424111400,5,64,65,130830,1046640
20180424111400,6,64,65,130830,1046640
20180424111400,0,64,65,652679,5221432
20180424111401,7,65,66,130830,1046640
20180424111401,3,65,66,130830,1046640
20180424111401,4,65,66,130830,1046640
20180424111401,5,65,66,130830,1046640
20180424111401,6,65,66,129359,1034872
20180424111401,0,65,66,652679,5221432
20180424111402,7,66,67,132300,1058400
20180424111402,3,66,67,130829,1046632
20180424111402,4,66,67,132300,1058400
20180424111402,5,66,67,132300,1058400
20180424111402,6,66,67,132300,1058400
20180424111402,0,66,67,660029,5280232
20180424111403,7,67,68,129359,1034872
20180424111403,3,67,68,130830,1046640
20180424111403,4,67,68,130830,1046640
20180424111403,5,67,68,130830,1046640
20180424111403,6,67,68,130830,1046640
20180424111403,0,67,68,652679,5221432
20180424111404,7,68,69,129359,1034872
20180424111404,3,68,69,130830,1046640
20180424111404,4,68,69,130830,1046640
20180424111404,5,68,69,130830,1046640
20180424111404,6,68,69,130830,1046640
20180424111404,0,68,69,652679,5221432
20180424111405,7,69,70,130830,1046640
20180424111405,3,69,70,129359,1034872
20180424111405,4,69,70,130830,1046640
20180424111405,5,69,70,130830,1046640
20180424111405,6,69,70,130830,1046640
20180424111405,0,69,70,652679,5221432
20180424111406,7,70,71,130830,1046640
20180424111406,3,70,71,129359,1034872
20180424111406,4,70,71,130830,1046640
20180424111406,5,70,71,130830,1046640
20180424111406,6,70,71,130830,1046640
20180424111406,0,70,71,652679,5221432
20180424111407,7,71,72,130830,1046640
20180424111407,3,71,72,130830,1046640
20180424111407,4,71,72,130830,1046640
20180424111407,5,71,72,130830,1046640
20180424111407,6,71,72,129359,1034872
20180424111407,0,71,72,652679,5221432
20180424111408,7,72,73,132300,1058400
20180424111408,3,72,73,132300,1058400
20180424111408,4,72,73,132300,1058400
20180424111408,5,72,73,132300,1058400
20180424111408,6,72,73,130829,1046632
20180424111408,0,72,73,660029,5280232
20180424111409,7,73,74,129359,1034872
20180424111409,3,73,74,130830,1046640
20180424111409,4,73,74,130830,1046640
20180424111409,5,73,74,130830,1046640
20180424111409,6,73,74,130830,1046640
20180424111409,0,73,74,652679,5221432
20180424111410,7,74,75,130830,1046640
20180424111410,3,74,75,129359,1034872
20180424111410,4,74,75,130830,1046640
20180424111410,5,74,75,130830,1046640
20180424111410,6,74,75,130830,1046640
20180424111410,0,74,75,652679,5221432
20180424111411,7,75,76,130830,1046640
20180424111411,3,75,76,130830,1046640
20180424111411,4,75,76,129359,1034872
20180424111411,5,75,76,130830,1046640
20180424111411,6,75,76,130830,1046640
20180424111411,0,75,76,652679,5221432
20180424111412,7,76,77,129359,1034872
20180424111412,3,76,77,130830,1046640
20180424111412,4,76,77,130830,1046640
20180424111412,5,76,77,130830,1046640
20180424111412,6,76,77,130830,1046640
20180424111412,0,76,77,652679,5221432
20180424111413,7,77,78,130830,1046640
20180424111413,3,77,78,130830,1046640
20180424111413,4,77,78,130830,1046640
20180424111413,5,77,78,130830,1046640
20180424111413,6,77,78,130830,1046640
20180424111413,0,77,78,654150,5233200
20180424111414,7,78,79,132300,1058400
20180424111414,3,78,79,132300,1058400
20180424111414,4,78,79,132300,1058400
20180424111414,5,78,79,132300,1058400
20180424111414,6,78,79,132300,1058400
20180424111414,0,78,79,661500,5292000
20180424111415,7,79,80,130830,1046640
20180424111415,3,79,80,130830,1046640
