DateTime,,,,,Ident,Secs,TX,RX
20180424174442,,,,,3,0.0-1.0,655360,5242880
20180424174442,,,,,4,0.0-1.0,655360,5242880
20180424174442,,,,,6,0.0-1.0,524288,4194304
20180424174443,,,,,5,0.0-1.0,655360,5242880
20180424174443,,,,,7,0.0-1.0,655360,5242880
20180424174443,,,,,-1,0.0-1.0,3145728,25165824
20180424174443,,,,,4,1.0-2.0,393216,3145728
20180424174444,,,,,3,1.0-2.0,524288,4194304
20180424174444,,,,,6,1.0-2.0,524288,4194304
20180424174444,,,,,7,1.0-2.0,262144,2097152
20180424174444,,,,,5,1.0-2.0,524288,4194304
20180424174444,,,,,-1,1.0-2.0,2228224,17825792
20180424174444,,,,,4,2.0-3.0,524288,4194304
20180424174444,,,,,6,2.0-3.0,393216,3145728
20180424174444,,,,,5,2.0-3.0,393216,3145728
20180424174444,,,,,3,2.0-3.0,393216,3145728
20180424174444,,,,,7,2.0-3.0,262144,2097152
20180424174444,,,,,-1,2.0-3.0,1966080,15728640
20180424174445,,,,,4,3.0-4.0,524288,4194304
20180424174445,,,,,3,3.0-4.0,393216,3145728
20180424174445,,,,,6,3.0-4.0,524288,4194304
20180424174446,,,,,7,3.0-4.0,393216,3145728
20180424174446,,,,,5,3.0-4.0,524288,4194304
20180424174446,,,,,-1,3.0-4.0,2359296,18874368
20180424174446,,,,,5,4.0-5.0,393216,3145728
20180424174447,,,,,4,4.0-5.0,655360,5242880
20180424174447,,,,,6,4.0-5.0,524288,4194304
20180424174447,,,,,7,4.0-5.0,393216,3145728
20180424174447,,,,,3,4.0-5.0,524288,4194304
20180424174447,,,,,-1,4.0-5.0,2490368,19922944
20180424174447,,,,,5,5.0-6.0,524288,4194304
20180424174447,,,,,7,5.0-6.0,393216,3145728
20180424174448,,,,,6,5.0-6.0,524288,4194304
20180424174448,,,,,4,5.0-6.0,524288,4194304
20180424174448,,,,,3,5.0-6.0,393216,3145728
20180424174448,,,,,-1,5.0-6.0,2359296,18874368
20180424174448,,,,,5,6.0-7.0,524288,4194304
20180424174448,,,,,3,6.0-7.0,262144,2097152
20180424174448,,,,,6,6.0-7.0,393216,3145728
20180424174448,,,,,7,6.0-7.0,393216,3145728
20180424174449,,,,,4,6.0-7.0,393216,3145728
20180424174449,,,,,-1,6.0-7.0,1966080,15728640
20180424174449,,,,,3,7.0-8.0,393216,3145728
20180424174449,,,,,5,7.0-8.0,524288,4194304
20180424174449,,,,,7,7.0-8.0,393216,3145728
20180424174449,,,,,6,7.0-8.0,524288,4194304
20180424174449,,,,,4,7.0-8.0,393216,3145728
20180424174449,,,,,-1,7.0-8.0,2228224,17825792
20180424174450,,,,,6,8.0-9.0,524288,4194304
20180424174450,,,,,4,8.0-9.0,393216,3145728
20180424174450,,,,,7,8.0-9.0,524288,4194304
20180424174450,,,,,5,8.0-9.0,655360,5242880
20180424174451,,,,,3,8.0-9.0,393216,3145728
20180424174451,,,,,-1,8.0-9.0,2490368,19922944
20180424174451,,,,,5,9.0-10.0,524288,4194304
20180424174451,,,,,4,9.0-10.0,393216,3145728
