DateTime,,,,,Ident,Secs,TX,RX
20180424153838,,,,,4,0.0-1.0,655360,5242880
20180424153838,,,,,7,0.0-1.0,655360,5242880
20180424153838,,,,,3,0.0-1.0,655360,5242880
20180424153838,,,,,5,0.0-1.0,786432,6291456
20180424153838,,,,,6,0.0-1.0,524288,4194304
20180424153838,,,,,-1,0.0-1.0,3276800,26214400
20180424153839,,,,,5,1.0-2.0,524288,4194304
20180424153839,,,,,3,1.0-2.0,655360,5242880
20180424153839,,,,,7,1.0-2.0,524288,4194304
20180424153839,,,,,4,1.0-2.0,786432,6291456
20180424153839,,,,,6,1.0-2.0,393216,3145728
20180424153839,,,,,-1,1.0-2.0,2883584,23068672
20180424153840,,,,,3,2.0-3.0,524288,4194304
20180424153840,,,,,7,2.0-3.0,393216,3145728
20180424153840,,,,,4,2.0-3.0,393216,3145728
20180424153840,,,,,5,2.0-3.0,524288,4194304
20180424153840,,,,,6,2.0-3.0,393216,3145728
20180424153840,,,,,-1,2.0-3.0,2228224,17825792
20180424153841,,,,,5,3.0-4.0,524288,4194304
20180424153841,,,,,3,3.0-4.0,655360,5242880
20180424153841,,,,,6,3.0-4.0,524288,4194304
20180424153841,,,,,7,3.0-4.0,524288,4194304
20180424153841,,,,,4,3.0-4.0,524288,4194304
20180424153841,,,,,-1,3.0-4.0,2752512,22020096
20180424153842,,,,,7,4.0-5.0,393216,3145728
20180424153842,,,,,3,4.0-5.0,524288,4194304
20180424153842,,,,,5,4.0-5.0,524288,4194304
20180424153842,,,,,6,4.0-5.0,524288,4194304
20180424153842,,,,,4,4.0-5.0,393216,3145728
20180424153842,,,,,-1,4.0-5.0,2359296,18874368
20180424153843,,,,,5,5.0-6.0,524288,4194304
20180424153843,,,,,6,5.0-6.0,655360,5242880
20180424153843,,,,,7,5.0-6.0,524288,4194304
20180424153843,,,,,4,5.0-6.0,393216,3145728
20180424153843,,,,,3,5.0-6.0,524288,4194304
20180424153843,,,,,-1,5.0-6.0,2621440,20971520
20180424153844,,,,,6,6.0-7.0,655360,5242880
20180424153844,,,,,5,6.0-7.0,655360,5242880
20180424153844,,,,,7,6.0-7.0,524288,4194304
20180424153844,,,,,3,6.0-7.0,393216,3145728
20180424153844,,,,,4,6.0-7.0,393216,3145728
20180424153844,,,,,-1,6.0-7.0,2621440,20971520
